Barang Tambang Mineral,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2017,2018,2019,2020,2021,2022,2023,1996,1997,1998,1999
Emas,109612,148528,140246,138475,86855,142894,138992,117854,64390,140488,119726,68220,69291,59804,69349,92339,100514,132734,108977,65890,78996,85203,82972,83564,86928,123862,127768
